,exrept,results
219,"Chen et al. systematically studied the electrical and thermal transportation properties of composites with 3D-CNT network, which exhibited extremely low thermal conductivity of 0.035 W m−1
K−1 in standard atmosphere at room temperature.)",
315,The 3D CNT network maintains an extremely low thermal conductivity of only 0.035 W m−1 K−1 in a standard atmosphere at room temperature.),
540,"In another case of doping with Cu, Sn1-xCuxSe (x = 0–0.03) was obtained by combining melting with high pressure (6.0 GPa) sintering, in which maximum S2σ and ZT values were 3.78 μW cm−1 K−2 and 0.79 for Sn0.97Cu0.03Se at 823 K, and the obtained κ was relatively low (∼0.4 W m−1 K−1) (HPS) .)","[{'Pressure': {'raw_value': '6.0', 'raw_units': 'GPa)', 'value': [6.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'pressure', 'compound': {'Compound': {'names': ['Sn1-xCuxSe'], 'labels': ['x = 0']}}}}]"
689,"The most popular and wide spread used metal diboride is TiB2 with the Vickers hardness of 33 GPa, Young's modulus of 545 GPa, thermal conductivity of 64 Wm-1K-1 and electrical resistivity 20.4 μΩ·cm at 25 °C.)","[{'Pressure': {'raw_value': '33', 'raw_units': 'GPa', 'value': [33.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['metal diboride']}}}}]"
690," the minimum total thermal conductivity of synthesized Bi2Te3 is observed to be 1.03 W m−1
K−1 at 365 K from 2 GPa synthesis pressure)","[{'Pressure': {'raw_value': '2', 'raw_units': 'GPa', 'value': [2.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi2Te3']}}}}]"
1083,"Values of thermal conductivity for an Fe9 wt%Si OC near the core-mantle boundary fall in the range of 67–145 W m−1
K−1 were reported from room temperature measurements of Fe-Si alloy to 60 GPa ().)","[{'Pressure': {'raw_value': '60', 'raw_units': 'GPa()', 'value': [60.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'near', 'compound': {'Compound': {'names': ['Fe9 wt %']}}}}]"
1094,{ thermal conductivity at room temperature }: ∼3Wm−1 K−1 for the SnTe with 25 h mechanical alloying treatments),
1146,The thermal conductivity of B-doped SiC body at 0.5 at% B sintered in a vacuum were 185 W m-1 K-1 while that at 1 at% B sintered in N2 atmosphere were 177 W m -1 K-1 at room temperature.),
1147,The thermal conductivity of B-doped SiC bodies sintered in a vacuum and N2 atmosphere were in the rage of 153â€“185 and 132â€“176 W m -1 K-1 at room temperature),
1149,{  at 973 K }:  the thermal conductivity of pristine SiC bodies sintered in a vacuum and N2 atmosphere were in the range of 66â€“75 and 50â€“70 W m-1 K-1),
1150,The thermal conductivity of B-doped SiC body at 0.5 at% B sintered in a vacuum was 185 W m-1 K-1 while that at 1 at% B sintered in N2 atmosphere was 177 W m -1 K-1 at room temperature.),
1151,The thermal conductivity of B-doped SiC body at 0.5 at% B sintered in a vacuum were 185 W m-1 K-1 while that at 1 at% B sintered in N2 atmosphere were 177 W m-1 K-1 at room temperature.),
1366, the minimum thermal conductivity can be observed to be 0.8 W m−1 K−1 at 432 K from synthesized BiSbTe3 bulk at 2.5 GPa.),"[{'Pressure': {'raw_value': '2.5', 'raw_units': 'GPa', 'value': [2.5], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['BiSbTe3 bulk']}}}}]"
1585,"{ lattice thermal conductivity at 300 K }: other oxides, namely, BiCuSeO (2107 ms-1, 76.5 GPa, 0.9 W m-1 K-1) are lower)","[{'Pressure': {'raw_value': '76.5', 'raw_units': 'GPa', 'value': [76.5], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['BiCuSeO']}}}}]"
1616,"The sample sintered at 1100 °C (warm-pressed at 120 MPa, 180 °C) containing SiO2 = 72.0 vol%, SiC = 9.11 vol %, free carbon = 6.2 vol%, showed a thermal conductivity of 0.5 Wm-1K-1 that remains unchanged whatever the temperature of measurement, whereas the sample with composition SiO2 = 77.5 vol%, SiC = 9.11 vol%, free carbon = 13.35 vol%, obtained from hot-presssing (30 MPa) at 1600 °C exhibited a non-linear response.)","[{'Pressure': {'raw_value': '120', 'raw_units': 'MPa', 'value': [120.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['SiO2']}}}}]"
1725,Potassium titanate whiskers (K2Ti6O13) are promising reinforcement materials due to their excellent mechanical properties (Mohs hardness: 4; strength: 7 GPa; modulus: 280 GPa) and other properties (ultralow thermal conductivity: 0.054 Wm-1K-1 at room temperature; thermal stability: melting point 1643 K; lower coefficient of thermal expansion: 6.8 × 10^-6 K-1; smaller mass density: 3.3 g/cm3; lower cost and good dispersibility).),"[{'Pressure': {'raw_value': '7', 'raw_units': 'GPa', 'value': [7.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Potassium titanate']}}}}]"
